=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

17:21:30 | 0065 | 17.49s | lr=0.07290000 | loss=0.030112 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:21:53 | 0066 | 17.68s | lr=0.07290000 | loss=0.030105 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:22:11 | 0067 | 17.53s | lr=0.07290000 | loss=0.030097 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:22:29 | 0068 | 17.58s | lr=0.07290000 | loss=0.030089 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:22:47 | 0069 | 17.64s | lr=0.07290000 | loss=0.030081 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:23:05 | 0070 | 17.67s | lr=0.07290000 | loss=0.030073 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:23:28 | 0071 | 17.61s | lr=0.07290000 | loss=0.030066 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:23:46 | 0072 | 17.58s | lr=0.07290000 | loss=0.030060 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:24:04 | 0073 | 17.63s | lr=0.07290000 | loss=0.030053 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:24:22 | 0074 | 17.59s | lr=0.07290000 | loss=0.030048 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:24:40 | 0075 | 17.56s | lr=0.07290000 | loss=0.030043 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:25:03 | 0076 | 17.60s | lr=0.07290000 | loss=0.030039 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:25:21 | 0077 | 17.60s | lr=0.07290000 | loss=0.030036 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:25:39 | 0078 | 17.53s | lr=0.07290000 | loss=0.030033 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:25:57 | 0079 | 17.64s | lr=0.07290000 | loss=0.030030 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:26:15 | 0080 | 17.54s | lr=0.07290000 | loss=0.030028 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:26:38 | 0081 | 17.70s | lr=0.07290000 | loss=0.030026 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:26:56 | 0082 | 17.64s | lr=0.07290000 | loss=0.030024 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:27:14 | 0083 | 17.67s | lr=0.07290000 | loss=0.030022 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:27:32 | 0084 | 17.67s | lr=0.07290000 | loss=0.030021 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:27:50 | 0085 | 17.56s | lr=0.07290000 | loss=0.030019 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:28:13 | 0086 | 17.54s | lr=0.07290000 | loss=0.030018 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:28:31 | 0087 | 17.56s | lr=0.07290000 | loss=0.030016 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:28:49 | 0088 | 17.65s | lr=0.07290000 | loss=0.030015 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:29:07 | 0089 | 17.64s | lr=0.07290000 | loss=0.030014 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:29:25 | 0090 | 17.54s | lr=0.07290000 | loss=0.030013 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:29:47 | 0091 | 17.60s | lr=0.07290000 | loss=0.030012 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:30:06 | 0092 | 17.67s | lr=0.07290000 | loss=0.030010 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:30:24 | 0093 | 17.58s | lr=0.07290000 | loss=0.030009 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:30:42 | 0094 | 17.59s | lr=0.07290000 | loss=0.030009 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:31:00 | 0095 | 17.63s | lr=0.07290000 | loss=0.030008 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:31:22 | 0096 | 17.61s | lr=0.07290000 | loss=0.030007 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:31:41 | 0097 | 17.64s | lr=0.06561000 | loss=0.030006 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:31:59 | 0098 | 17.59s | lr=0.06561000 | loss=0.030006 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:32:17 | 0099 | 17.55s | lr=0.06561000 | loss=0.030005 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
17:32:35 | 0100 | 17.65s | lr=0.06561000 | loss=0.030005 | GPU_allocated(934.39Mb) | GPU_cached(1,562.38Mb)
