=== 20200621 Start ==========================
cameras        : ./21_data/input/200616_SilhoutteFitted/cam_params.json
mesh           : D:\1_Projects\200325_PyTorch3d_Projects\0_data\output\200619_SilFittedMesh_vtAdded
clean plates   : D:\Pictures\2019_12_13_Lada_Capture\CleanPlates\undistorted
images         : 03052.pgm 03067.pgm 04735.pgm 06550.pgm 06250.pgm
---------------------------------------------

16:05:49 | 0080 | 17.64s | lr=0.07290000 | loss=0.022157 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:06:12 | 0081 | 17.64s | lr=0.07290000 | loss=0.022156 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:06:30 | 0082 | 17.50s | lr=0.07290000 | loss=0.022154 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:06:48 | 0083 | 17.66s | lr=0.07290000 | loss=0.022152 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:07:06 | 0084 | 17.66s | lr=0.07290000 | loss=0.022151 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:07:24 | 0085 | 17.60s | lr=0.07290000 | loss=0.022149 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:07:47 | 0086 | 17.52s | lr=0.07290000 | loss=0.022148 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:08:05 | 0087 | 17.65s | lr=0.07290000 | loss=0.022147 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:08:23 | 0088 | 17.70s | lr=0.07290000 | loss=0.022146 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:08:41 | 0089 | 17.63s | lr=0.07290000 | loss=0.022144 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:08:59 | 0090 | 17.65s | lr=0.07290000 | loss=0.022143 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:09:22 | 0091 | 17.65s | lr=0.07290000 | loss=0.022142 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:09:40 | 0092 | 17.69s | lr=0.07290000 | loss=0.022141 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:09:58 | 0093 | 17.59s | lr=0.07290000 | loss=0.022140 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:10:16 | 0094 | 17.58s | lr=0.07290000 | loss=0.022139 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:10:34 | 0095 | 17.60s | lr=0.07290000 | loss=0.022139 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:10:57 | 0096 | 17.53s | lr=0.07290000 | loss=0.022138 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:11:15 | 0097 | 17.61s | lr=0.07290000 | loss=0.022137 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:11:33 | 0098 | 17.64s | lr=0.06561000 | loss=0.022136 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:11:51 | 0099 | 17.59s | lr=0.06561000 | loss=0.022136 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
16:12:09 | 0100 | 17.71s | lr=0.06561000 | loss=0.022135 | GPU_allocated(933.54Mb) | GPU_cached(1,541.41Mb)
